date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:18	21799/21799	---M--	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202024%2017:35:15%20GMT	https://siceuc.ucol.mx/	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/index.html	(from )
11:35:18	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Apr%202024%2017:35:15%20GMT	https://siceuc.ucol.mx/robots.txt		(from )
11:35:18	60260/60260	---M-Z	200	added ('OK')	text/css	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/css/bootstrap.css	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/css/bootstrap.css	(from https://siceuc.ucol.mx/)
11:35:19	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%2280c8b6efd632d31:0%22	https://siceuc.ucol.mx/js/jquery.min.js	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/js/jquery.min.js	(from https://siceuc.ucol.mx/)
11:35:19	42173/42173	---M-Z	200	added ('OK')	text/css	etag:%2280d9d8eecbc3cf1:0%22	https://siceuc.ucol.mx/css/style.css	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/css/style.css	(from https://siceuc.ucol.mx/)
11:35:21	69707/69707	---M-Z	200	added ('OK')	application/javascript	etag:%220d4e98b6e6d11:0%22	https://siceuc.ucol.mx/js/bootstrap.js	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/js/bootstrap.js	(from https://siceuc.ucol.mx/)
11:35:21	9329/9329	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/logo.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/logo.png	(from https://siceuc.ucol.mx/)
11:35:21	11959/11959	---M-Z	200	added ('OK')	application/javascript	etag:%220d35a2b221d71:0%22	https://siceuc.ucol.mx/md5.js	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/md5.js	(from https://siceuc.ucol.mx/)
11:35:21	12213/12213	---M--	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202024%2017:35:19%20GMT	https://siceuc.ucol.mx/evaluaciones.asp	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/evaluaciones.html	(from https://siceuc.ucol.mx/)
11:35:22	149/149	---M--	302	error ('Object%20moved')	text/html	date:Tue,%2030%20Apr%202024%2017:35:19%20GMT	https://siceuc.ucol.mx/ssocial.asp	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/ssocial.7.delayed	(from https://siceuc.ucol.mx/)
